city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Melbourne,-37.8142,144.9631,Australia,AU,Victoria,admin,5031195,5031195
Sydney,-33.8678,151.21,Australia,AU,New South Wales,admin,4840600,4840600
Brisbane,-27.4678,153.0281,Australia,AU,Queensland,admin,2360241,2360241
Perth,-31.9559,115.8606,Australia,AU,Western Australia,admin,2141834,2141834
Adelaide,-34.9275,138.6,Australia,AU,South Australia,admin,1295714,1295714
Gold Coast,-28.0167,153.4,Australia,AU,Queensland,,607665,607665
Cranbourne,-38.0996,145.2834,Australia,AU,Victoria,,460491,460491
Canberra,-35.2931,149.1269,Australia,AU,Australian Capital Territory,primary,381488,381488
Central Coast,-33.3,151.2,Australia,AU,New South Wales,,346596,346596
Wollongong,-34.4331,150.8831,Australia,AU,New South Wales,,261896,261896
Ipswich,-27.6144,152.7608,Australia,AU,Queensland,,232930,232930
Hobart,-42.8806,147.325,Australia,AU,Tasmania,admin,197451,197451
Geelong,-38.15,144.35,Australia,AU,Victoria,,180239,180239
