AveragePowerOutput,Count
43.0,2
7.0,58
6.6,14
6.3,1
0.0,24
3.6,8
120.0,43
40.666666666666664,45
9.333333333333334,1
22.0,239
50.0,213
44.4,1
206.25,1
168.75,1
94.48333333333333,1
7.2,8
3.8,3
11.0,47
36.0,4
150.0,23
37.5,3
225.0,8
350.0,20
17.0,5
8.0,2
4.8,4
20.0,2
14.0,3
2.4,4
200.0,5
23.333333333333332,3
110.0,4
14.5,4
2.0,1
2.3,1
3.3,1
4.0,2
247.66666666666666,1
240.0,1
3.0,6
60.0,5
250.0,23
5.5,1
32.0,1
7.6,3
24.0,7
13.3,1
22.8,1
25.0,37
43.5,1
108.33333333333333,1
137.5,2
12.0,1
9.0,2
61.333333333333336,1
8.3,1
20.333333333333332,1
10.0,1
15.666666666666666,1
16.5,2
12.5,3
2.5,2
12.2,3
75.0,43
12.8,2
16.733333333333334,1
8.333333333333334,1
14.4,1
13.166666666666666,1
9.1,1
5.0,1
5.4,1
165.0,1
91.66666666666667,1
152.5,4
45.142857142857146,1
34.666666666666664,1
48.5,3
78.5,8
78.85,1
86.0,15
80.5,1
1.5,1
124.0,2
57.333333333333336,13
5.35,1
105.0,2
9.533333333333333,1
140.0,3
80.0,3
7.3,1
13.333333333333334,1
100.0,6
65.0,2
60.666666666666664,1
120.83333333333333,1
10.75,1
22.666666666666668,2
18.333333333333332,2
23.0,1
40.0,1
7.4,2
135.0,1
180.0,1
125.0,1
15.0,1
35.666666666666664,5
35.733333333333334,2
2.95,1
16.0,1
47.666666666666664,1
7.7,1
